,seq_header,seq_id,novelSeq
0,en|ENST00000616016,en|ENST00000616016,False
0,en|ENST00000378513|ENST00000378518,en|ENST00000378513,False
1,en|ENST00000378513|ENST00000378518,en|ENST00000378518,False
0,en|ENST00000343137,en|ENST00000343137:g.13749487j13769118_13769173j13773078>13749487j13750420_13750486j13773078,False
1,en|ENST00000343137,en|ENST00000343137:g.13749487j13769118_13769173j13773078>13749487j13754251_13754365j13773078,False
2,en|ENST00000343137,en|ENST00000343137,False
0,en|ENST00000503842,en|ENST00000503842:g.13749487j13769118_13769173j13773078>13749487j13750420_13750486j13773078,False
1,en|ENST00000503842,en|ENST00000503842,False
2,en|ENST00000503842,en|ENST00000503842:g.13749487j13769118_13769173j13773078>13749487j13754251_13754365j13773078,False
0,en|ENST00000480945,en|ENST00000480945,False
0,en|ENST00000375153|ENST00000375155,en|ENST00000375153,False
1,en|ENST00000375153|ENST00000375155,en|ENST00000375155,False
0,en|ENST00000400548,en|ENST00000400548,False
0,en|ENST00000234549,en|ENST00000234549,False
0,en|ENST00000010299,en|ENST00000010299,False
0,en|ENST00000373927,en|ENST00000373927,False
0,en|ENST00000373925,en|ENST00000373925,False
0,en|ENST00000349460,en|ENST00000349460,False
0,en|ENST00000373210,en|ENST00000373210,False
0,en|ENST00000648638,en|ENST00000648638:g.36224505j36225412_36225463j36259382>36224505j36224971_36225102j36259382,False
1,en|ENST00000648638,en|ENST00000648638:g.36224505j36225412_36225463j36259382>36224505j36224971_36225082j36259382,False
2,en|ENST00000648638,en|ENST00000648638,False
0,en|ENST00000469141,en|ENST00000469141:g.36224505j36224971_36225102j36259382>36224505j36225412_36225463j36259382,False
1,en|ENST00000469141,en|ENST00000469141,False
0,en|ENST00000372654,en|ENST00000372654:g.40691867j40712687_40712821j40738836>40691867j40723689_40723792j40738836,False
1,en|ENST00000372654,en|ENST00000372654,False
2,en|ENST00000372654,en|ENST00000372654:g.40691867j40712687_40712821j40738836>40691867j40723208_40723274j40738836,False
0,en|ENST00000372653,en|ENST00000372653,False
1,en|ENST00000372653,en|ENST00000372653:g.40723274j40723689_40723792j40738836>40723274j40735601_40735750j40738836,False
0,en|ENST00000642618|ENST00000347132,en|ENST00000642618,False
1,en|ENST00000642618|ENST00000347132,en|ENST00000347132,False
0,en|ENST00000372372,en|ENST00000372372,False
0,en|ENST00000647237,en|ENST00000647237,False
0,en|ENST00000351035,en|ENST00000351035,False
0,en|ENST00000262915,en|ENST00000262915,False
0,en|ENST00000372368,en|ENST00000372368,False
0,en|ENST00000458657,en|ENST00000458657,False
1,en|ENST00000458657,en|ENST00000458657:g.44674873j44688196_44688319j44689676>44674873j44689109_44689224j44689676,False
0,en|ENST00000372224,en|ENST00000372224,False
0,en|ENST00000372217,en|ENST00000372217,False
0,en|ENST00000371923,en|ENST00000371923,False
0,en|ENST00000271153,en|ENST00000271153,False
0,en|ENST00000614163,en|ENST00000614163,False
0,en|ENST00000313334,en|ENST00000313334,False
0,en|ENST00000472944,en|ENST00000472944,False
0,en|ENST00000484036,en|ENST00000484036,False
0,en|ENST00000545132,en|ENST00000545132,False
0,en|ENST00000371370,en|ENST00000371370:g.53946549j53947788_53947821j53951986>53946549j53947862_53947981j53951986,False
1,en|ENST00000371370,en|ENST00000371370,False
2,en|ENST00000371370,en|ENST00000371370:g.53946549j53947788_53947821j53951986>53946549j53947881_53947981j53951986,False
0,en|ENST00000371191,en|ENST00000371191,False
0,en|ENST00000407417,en|ENST00000407417,False
0,en|ENST00000371189,en|ENST00000371189,False
0,en|ENST00000403491,en|ENST00000403491,False
0,en|ENST00000485903,en|ENST00000485903,False
0,en|ENST00000371185,en|ENST00000371185,False
0,en|ENST00000371184,en|ENST00000371184,False
0,en|ENST00000357977,en|ENST00000357977,False
0,en|ENST00000237247,en|ENST00000237247,False
0,en|ENST00000371037,en|ENST00000371037,False
0,en|ENST00000371039,en|ENST00000371039,False
0,en|ENST00000326637,en|ENST00000326637,False
0,en|ENST00000370721,en|ENST00000370721,False
0,en|ENST00000370725,en|ENST00000370725,False
0,en|ENST00000370723,en|ENST00000370723,False
0,en|ENST00000370728|ENST00000370717,en|ENST00000370728,False
1,en|ENST00000370728|ENST00000370717,en|ENST00000370717,False
0,en|ENST00000362005,en|ENST00000362005,False
1,en|ENST00000362005,en|ENST00000362005:g.91949682j91949890_91949958j91962718>91949682j91957529_91957600j91962718,False
0,en|ENST00000370389,en|ENST00000370389,False
1,en|ENST00000370389,en|ENST00000370389:g.91949682j91949890_91950474j91964627>91949682j91962718_91962946j91964627,False
0,en|ENST00000399546,en|ENST00000399546,False
0,en|ENST00000370214,en|ENST00000370214,False
0,en|ENST00000315713,en|ENST00000315713,False
0,en|ENST00000638792,en|ENST00000638792,False
0,en|ENST00000639037,en|ENST00000639037,False
0,en|ENST00000260563,en|ENST00000260563,False
0,en|ENST00000619748,en|ENST00000619748,False
0,en|ENST00000615219,en|ENST00000615219:g.120833775j120834495_120834546j120837169>120833775j120836517_120836568j120837169,False
