"contig","gene","strand","event_id","confirmed","exon_pre_end","exon1_start","exon1_end","exon2_start","exon2_end","exon_aft_start","event_jid","alpha","beta","depth_min","depth_q05","depth_q25","depth_median","depth_q75","depth_q95","depth_max","psi_min","psi_q05","psi_q25","psi_median","psi_q75","psi_q95","psi_max","log-likelihood"
"chr1","ENSG00000187634","+","mutex_exons_1",0,939460,941144,941230,942136,942251,942410,"chr1s+:g.939460j941144_941230j942410>939460j942136_942251j942410[splMUT]",0.613235780060119,4.0031183756807,0,0,2,3,8,14,22,0,0,0,0,0.333333333333333,0.566666666666666,0.666666666666667,15.9537868031734
"chr1","ENSG00000197530","+","mutex_exons_2",0,1625653,1625909,1625971,1626367,1626754,1626837,"chr1s+:g.1625653j1625909_1625971j1626837>1625653j1626367_1626754j1626837[splMUT]",0.99999993038878,39.8038941616535,0,2.4,8,21,33,61.6,64,0,0,0,0,0.0381433823529412,0.0632684426229508,0.0655737704918033,15.0478948192747
"chr1","ENSG00000157916","+","mutex_exons_3",0,2391958,2393232,2393355,2392563,2393231,2395784,"chr1s+:g.2391958j2393232_2393355j2395784>2391958j2392563_2393231j2395784[splMUT]",18.7610391108482,0.999999987502625,15,22.2,31,39,72,91.2,96,0.852941176470588,0.867362428842505,0.9375,0.948717948717949,0.986111111111111,1,1,34.4007315870179
"chr1","ENSG00000157916","+","mutex_exons_4",4,2391958,2393270,2393355,2392563,2393231,2395784,"chr1s+:g.2391958j2393270_2393355j2395784>2391958j2392563_2393231j2395784[splMUT]",22.2685371153674,0.999999994438853,27,27,37,51,81,100.8,104,0.878048780487805,0.912451861360719,0.942307692307692,0.952380952380952,0.985714285714286,1,1,34.1206761012077
"chr1","ENSG00000157916","+","mutex_exons_5",4,2391958,2394647,2394728,2392563,2393231,2395784,"chr1s+:g.2391958j2394647_2394728j2395784>2391958j2392563_2393231j2395784[splMUT]",7.40793776591545,0.999997937003712,2,5.2,12,20,33,61.4,79,0.6875,0.708928571428571,0.75,0.916666666666667,0.929824561403509,1,1,35.0393072126516
"chr1","ENSG00000157916","+","mutex_exons_6",1,2391958,2395608,2395648,2392563,2393231,2395784,"chr1s+:g.2391958j2395608_2395648j2395784>2391958j2392563_2393231j2395784[splMUT]",0.999999793860066,1.55787520999994,0,0.8,2,4,7,8.2,9,0,0,0.2375,0.333333333333333,0.517857142857143,1,1,25.1992206727156
"chr1","ENSG00000157916","+","mutex_exons_7",2,2391958,2393208,2393231,2393232,2393355,2395784,"chr1s+:g.2391958j2393208_2393231j2395784>2391958j2393232_2393355j2395784[splMUT]",0.999999968008591,7.89486275963339,20,26.4,34,40,76,92.4,106,0,0.0363636363636364,0.0632911392405063,0.105263157894737,0.150684931506849,0.261538461538461,0.307692307692308,47.3345444932009
"chr1","ENSG00000157916","+","mutex_exons_8",16,2391958,2393208,2393231,2393270,2393355,2395784,"chr1s+:g.2391958j2393208_2393231j2395784>2391958j2393270_2393355j2395784[splMUT]",0.999999986743931,9.69515882586318,27,29.4,39,55,86,104.4,110,0,0.0344086021505376,0.0602409638554217,0.0930232558139535,0.128205128205128,0.165677966101695,0.203389830508475,46.505828577063
"chr1","ENSG00000157916","+","mutex_exons_9",0,2391958,2393208,2393231,2393270,2393355,2395790,"chr1s+:g.2391958j2393208_2393231j2395790>2391958j2393270_2393355j2395790[splMUT]",0.999999999456842,2.09655749572617,4,4,5,9,15,27.4,29,0,0.1,0.222222222222222,0.296296296296296,0.5,0.736666666666667,0.75,37.1341012924321
"chr1","ENSG00000157916","+","mutex_exons_10",16,2391958,2393208,2393231,2394647,2394728,2395784,"chr1s+:g.2391958j2393208_2393231j2395784>2391958j2394647_2394728j2395784[splMUT]",0.999997826045758,3.19744866999612,7,7.8,15,23,40,69.8,89,0,0.0666666666666667,0.130434782608696,0.275,0.375,0.542857142857143,0.714285714285714,47.1372549994801
