contig,gene,strand,event_id,confirmed,exon_pre_end,exon1_start,exon1_end,exon2_start,exon2_end,exon_aft_start,event_jid,colon_8a_TSMRU_colon_8a._iso1,colon_8b_TSMRU_colon_8b._iso1,colon_a_TSMRU_V10.star_iso1,colon_b_TSMRU_V11.star_iso1,colon_c_TSMRU_V14.star_iso1,colon_d_TSMRU_V15.star_iso1,colon_f_TSMRU_V22.star_iso1,duodenum_4b_TSMRU_V145.s_iso1,duodenum_4c_TSMRU_V150.s_iso1,rectum_8a_TSMRU_rectum_8_iso1,rectum_8b_TSMRU_rectum_8_iso1,rectum_8c_TSMRU_rectum_8_iso1,rectum_8d_TSMRU_rectum_8_iso1,smallintestine_4a_TSMRU__iso1,smallintestine_4b_TSMRU__iso1,smallintestine_4c_TSMRU__iso1,smallintestine_4d_TSMRU__iso1,colon_8a_TSMRU_colon_8a._iso2,colon_8b_TSMRU_colon_8b._iso2,colon_a_TSMRU_V10.star_iso2,colon_b_TSMRU_V11.star_iso2,colon_c_TSMRU_V14.star_iso2,colon_d_TSMRU_V15.star_iso2,colon_f_TSMRU_V22.star_iso2,duodenum_4b_TSMRU_V145.s_iso2,duodenum_4c_TSMRU_V150.s_iso2,rectum_8a_TSMRU_rectum_8_iso2,rectum_8b_TSMRU_rectum_8_iso2,rectum_8c_TSMRU_rectum_8_iso2,rectum_8d_TSMRU_rectum_8_iso2,smallintestine_4a_TSMRU__iso2,smallintestine_4b_TSMRU__iso2,smallintestine_4c_TSMRU__iso2,smallintestine_4d_TSMRU__iso2
chr1,ENSG00000187634,+,mutex_exons_1,0,939460,941144,941230,942136,942251,942410,chr1s+:g.939460j941144_941230j942410>939460j942136_942251j942410[splMUT],0,0,1,0,1,0,0,0,1,0,0,0,0,0,2,2,2,10,0,1,22,7,10,6,2,2,0,0,0,3,4,4,10,1
chr1,ENSG00000197530,+,mutex_exons_2,0,1625653,1625909,1625971,1626367,1626754,1626837,chr1s+:g.1625653j1625909_1625971j1626837>1625653j1626367_1626754j1626837[splMUT],0,0,0,2,3,0,0,2,0,0,0,0,1,0,0,4,0,8,0,28,62,45,30,21,31,28,3,4,3,16,19,40,57,15
chr1,ENSG00000157916,+,mutex_exons_3,0,2391958,2393232,2393355,2392563,2393231,2395784,chr1s+:g.2391958j2393232_2393355j2395784>2391958j2392563_2393231j2395784[splMUT],84,90,23,62,27,29,15,25,34,74,71,68,84,31,43,37,29,3,6,1,4,4,0,0,0,3,1,1,4,6,2,2,2,5
chr1,ENSG00000157916,+,mutex_exons_4,4,2391958,2393270,2393355,2392563,2393231,2395784,chr1s+:g.2391958j2393270_2393355j2395784>2391958j2392563_2393231j2395784[splMUT],89,94,34,77,47,27,27,27,35,78,69,78,98,35,51,40,36,3,6,1,4,4,0,0,0,3,1,1,4,6,2,2,2,5
chr1,ENSG00000157916,+,mutex_exons_5,4,2391958,2394647,2394728,2392563,2393231,2395784,chr1s+:g.2391958j2394647_2394728j2395784>2391958j2392563_2393231j2395784[splMUT],9,73,5,29,53,27,2,20,9,13,44,11,40,22,24,5,11,3,6,1,4,4,0,0,0,3,1,1,4,6,2,2,2,5
chr1,ENSG00000157916,+,mutex_exons_6,1,2391958,2395608,2395648,2392563,2393231,2395784,chr1s+:g.2391958j2395608_2395648j2395784>2391958j2392563_2393231j2395784[splMUT],4,2,1,1,2,3,0,1,0,0,7,3,3,1,2,0,2,3,6,1,4,4,0,0,0,3,1,1,4,6,2,2,2,5
chr1,ENSG00000157916,+,mutex_exons_7,2,2391958,2393208,2393231,2393232,2393355,2395784,chr1s+:g.2391958j2393208_2393231j2395784>2391958j2393232_2393355j2395784[splMUT],4,16,5,11,12,0,5,3,6,5,4,8,5,3,4,3,5,84,90,23,62,27,29,15,25,34,74,71,68,84,31,43,37,29
chr1,ENSG00000157916,+,mutex_exons_8,16,2391958,2393208,2393231,2393270,2393355,2395784,chr1s+:g.2391958j2393208_2393231j2395784>2391958j2393270_2393355j2395784[splMUT],4,16,5,11,12,0,5,3,6,5,4,8,5,3,4,3,5,89,94,34,77,47,27,27,27,35,78,69,78,98,35,51,40,36
chr1,ENSG00000157916,+,mutex_exons_9,0,2391958,2393208,2393231,2393270,2393355,2395790,chr1s+:g.2391958j2393208_2393231j2395790>2391958j2393270_2393355j2395790[splMUT],3,11,4,8,9,0,5,3,3,4,3,5,2,1,2,1,2,5,4,11,19,20,4,12,2,1,4,2,10,14,4,8,3,7
chr1,ENSG00000157916,+,mutex_exons_10,16,2391958,2393208,2393231,2394647,2394728,2395784,chr1s+:g.2391958j2393208_2393231j2395784>2391958j2394647_2394728j2395784[splMUT],4,16,5,11,12,0,5,3,6,5,4,8,5,3,4,3,5,9,73,5,29,53,27,2,20,9,13,44,11,40,22,24,5,11
chr1,ENSG00000157916,+,mutex_exons_11,4,2391958,2393208,2393231,2395608,2395648,2395784,chr1s+:g.2391958j2393208_2393231j2395784>2391958j2395608_2395648j2395784[splMUT],4,16,5,11,12,0,5,3,6,5,4,8,5,3,4,3,5,4,2,1,1,2,3,0,1,0,0,7,3,3,1,2,0,2
chr1,ENSG00000157916,+,mutex_exons_12,0,2391958,2393208,2393231,2395608,2395648,2395790,chr1s+:g.2391958j2393208_2393231j2395790>2391958j2395608_2395648j2395790[splMUT],3,11,4,8,9,0,5,3,3,4,3,5,2,1,2,1,2,0,0,0,1,0,0,0,0,0,0,4,1,1,0,0,0,0
chr1,ENSG00000157916,+,mutex_exons_13,4,2391958,2395608,2395648,2393208,2393355,2395784,chr1s+:g.2391958j2395608_2395648j2395784>2391958j2393208_2393355j2395784[splMUT],4,2,1,1,2,3,0,1,0,0,7,3,3,1,2,0,2,87,101,27,66,36,23,20,28,37,78,70,73,86,32,45,38,31
chr1,ENSG00000157916,+,mutex_exons_14,3,2391958,2394647,2394728,2393232,2393355,2395784,chr1s+:g.2391958j2394647_2394728j2395784>2391958j2393232_2393355j2395784[splMUT],9,73,5,29,53,27,2,20,9,13,44,11,40,22,24,5,11,84,90,23,62,27,29,15,25,34,74,71,68,84,31,43,37,29
chr1,ENSG00000157916,+,mutex_exons_15,1,2391958,2395608,2395648,2393232,2393355,2395784,chr1s+:g.2391958j2395608_2395648j2395784>2391958j2393232_2393355j2395784[splMUT],4,2,1,1,2,3,0,1,0,0,7,3,3,1,2,0,2,84,90,23,62,27,29,15,25,34,74,71,68,84,31,43,37,29
chr1,ENSG00000157916,+,mutex_exons_16,4,2391958,2395608,2395648,2393270,2393355,2395784,chr1s+:g.2391958j2395608_2395648j2395784>2391958j2393270_2393355j2395784[splMUT],4,2,1,1,2,3,0,1,0,0,7,3,3,1,2,0,2,89,94,34,77,47,27,27,27,35,78,69,78,98,35,51,40,36
chr1,ENSG00000157916,+,mutex_exons_17,0,2391958,2395608,2395648,2393270,2393355,2395790,chr1s+:g.2391958j2395608_2395648j2395790>2391958j2393270_2393355j2395790[splMUT],0,0,0,1,0,0,0,0,0,0,4,1,1,0,0,0,0,5,4,11,19,20,4,12,2,1,4,2,10,14,4,8,3,7
chr1,ENSG00000157916,+,mutex_exons_18,4,2391958,2395608,2395648,2394647,2394728,2395784,chr1s+:g.2391958j2395608_2395648j2395784>2391958j2394647_2394728j2395784[splMUT],4,2,1,1,2,3,0,1,0,0,7,3,3,1,2,0,2,9,73,5,29,53,27,2,20,9,13,44,11,40,22,24,5,11
chr1,ENSG00000157916,+,mutex_exons_19,0,2391958,2394647,2394728,2395790,2395871,2397116,chr1s+:g.2391958j2394647_2394728j2397116>2391958j2395790_2395871j2397116[splMUT],2,8,0,8,12,12,0,6,2,2,4,3,5,6,3,0,2,697,742,194,564,430,309,167,156,196,539,512,684,648,203,245,262,221
chr1,ENSG00000157916,+,mutex_exons_20,0,2393355,2394647,2394728,2395790,2395871,2397116,chr1s+:g.2393355j2394647_2394728j2397116>2393355j2395790_2395871j2397116[splMUT],1,19,0,5,18,1,0,0,5,6,0,4,9,2,7,2,8,685,742,189,564,430,309,165,155,196,539,512,684,648,203,245,262,221
chr1,ENSG00000157916,+,mutex_exons_21,1,2395871,2399470,2399514,2397116,2397220,2400857,chr1s+:g.2395871j2399470_2399514j2400857>2395871j2397116_2397220j2400857[splMUT],1142,1080,301,864,568,441,217,268,244,852,833,1132,1127,245,407,373,356,696,748,189,574,430,312,165,157,196,546,517,693,652,203,246,262,222
chr1,ENSG00000157873,+,mutex_exons_22,3,2560714,2561744,2561815,2561494,2561724,2562865,chr1s+:g.2560714j2561744_2561815j2562865>2560714j2561494_2561724j2562865[splMUT],264,199,99,391,246,220,89,239,210,221,165,206,336,221,229,271,212,33,7,12,32,20,17,11,26,16,6,11,14,16,17,18,52,15
chr1,ENSG00000157873,+,mutex_exons_23,8,2560714,2561777,2561815,2561494,2561724,2562865,chr1s+:g.2560714j2561777_2561815j2562865>2560714j2561494_2561724j2562865[splMUT],275,210,119,420,259,231,97,260,229,233,174,213,368,244,264,287,227,33,7,12,32,20,17,11,26,16,6,11,14,16,17,18,52,15
chr1,ENSG00000116288,+,mutex_exons_24,1,7965425,7969345,7969375,7970894,7970963,7984894,chr1s+:g.7965425j7969345_7969375j7984894>7965425j7970894_7970963j7984894[splMUT],1702,1231,384,1518,862,679,288,291,266,984,1025,1335,1068,293,364,430,419,56,36,3,12,7,7,1,5,0,29,32,19,27,2,6,8,3
chr1,ENSG00000116288,+,mutex_exons_25,0,7965425,7969345,7969375,7970894,7970968,7984894,chr1s+:g.7965425j7969345_7969375j7984894>7965425j7970894_7970968j7984894[splMUT],1702,1231,384,1518,862,679,288,291,266,984,1025,1335,1068,293,364,430,419,18,8,0,4,4,2,1,4,0,12,12,18,10,0,3,0,0
chr1,ENSG00000116288,+,mutex_exons_26,0,7965425,7969345,7969375,7970894,7971000,7984894,chr1s+:g.7965425j7969345_7969375j7984894>7965425j7970894_7971000j7984894[splMUT],1702,1231,384,1518,862,679,288,291,266,984,1025,1335,1068,293,364,430,419,18,8,0,8,4,2,1,4,0,12,12,18,10,0,3,0,0
chr1,ENSG00000171608,+,mutex_exons_27,2,9691571,9693415,9693571,9710105,9710280,9710424,chr1s+:g.9691571j9693415_9693571j9710424>9691571j9710105_9710280j9710424[splMUT],0,1,0,3,0,0,0,1,0,0,0,2,0,0,0,0,1,3,0,0,3,2,1,0,1,0,0,0,2,6,3,2,4,2
chr1,ENSG00000120948,+,mutex_exons_28,0,11013965,11015524,11015646,11016123,11016254,11016844,chr1s+:g.11013965j11015524_11015646j11016844>11013965j11016123_11016254j11016844[splMUT],6,7,2,9,7,4,1,8,2,7,14,12,15,3,0,4,1,0,10,0,1,0,0,0,0,1,17,13,7,8,1,8,0,1
chr1,ENSG00000120942,+,mutex_exons_29,1,11274060,11285644,11285732,11293467,11293626,11294873,chr1s+:g.11274060j11285644_11285732j11294873>11274060j11293467_11293626j11294873[splMUT],88,51,18,95,25,56,7,18,10,50,32,49,64,15,15,20,14,4,1,0,0,1,2,4,0,0,1,1,0,2,0,0,0,0
chr1,ENSG00000116731,+,mutex_exons_30,0,13749487,13750420,13750486,13754251,13754365,13773078,chr1s+:g.13749487j13750420_13750486j13773078>13749487j13754251_13754365j13773078[splMUT],4,1,5,7,0,4,0,0,0,0,2,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
chr1,ENSG00000116731,+,mutex_exons_31,0,13749487,13750420,13750486,13769039,13769173,13773078,chr1s+:g.13749487j13750420_13750486j13773078>13749487j13769039_13769173j13773078[splMUT],4,1,5,7,0,4,0,0,0,0,2,0,0,0,1,4,1,1,3,6,5,3,4,4,3,0,4,10,5,5,3,6,4,1
chr1,ENSG00000116731,+,mutex_exons_32,2,13749487,13769118,13769173,13750420,13750486,13773078,chr1s+:g.13749487j13769118_13769173j13773078>13749487j13750420_13750486j13773078[splMUT],2,5,9,10,6,6,7,4,0,6,17,9,9,6,8,10,3,4,1,5,7,0,4,0,0,0,0,2,0,0,0,1,4,1
chr1,ENSG00000116731,+,mutex_exons_33,0,13749487,13754251,13754365,13769039,13769173,13773078,chr1s+:g.13749487j13754251_13754365j13773078>13749487j13769039_13769173j13773078[splMUT],0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,3,6,5,3,4,4,3,0,4,10,5,5,3,6,4,1
chr1,ENSG00000116731,+,mutex_exons_34,0,13749487,13769118,13769173,13754251,13754365,13773078,chr1s+:g.13749487j13769118_13769173j13773078>13749487j13754251_13754365j13773078[splMUT],2,5,9,10,6,6,7,4,0,6,17,9,9,6,8,10,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
chr1,ENSG00000116731,+,mutex_exons_35,1,13750154,13769118,13769173,13750420,13750486,13773078,chr1s+:g.13750154j13769118_13769173j13773078>13750154j13750420_13750486j13773078[splMUT],1,3,6,5,3,6,4,3,0,4,10,5,5,3,6,4,1,4,1,4,4,0,7,0,0,0,0,2,0,0,0,1,4,1
chr1,ENSG00000142621,+,mutex_exons_36,0,15313187,15316378,15316467,15324452,15324559,15327059,chr1s+:g.15313187j15316378_15316467j15327059>15313187j15324452_15324559j15327059[splMUT],7,0,0,3,1,0,0,0,0,1,0,3,2,1,3,1,0,0,0,0,6,1,2,0,0,0,2,1,1,0,0,0,0,0
chr1,ENSG00000142621,+,mutex_exons_37,0,15382193,15383807,15383930,15383156,15383402,15388051,chr1s+:g.15382193j15383807_15383930j15388051>15382193j15383156_15383402j15388051[splMUT],0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
chr1,ENSG00000142621,+,mutex_exons_38,0,15382193,15391210,15391263,15383159,15383280,15397297,chr1s+:g.15382193j15391210_15391263j15397297>15382193j15383159_15383280j15397297[splMUT],0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
chr1,ENSG00000142621,+,mutex_exons_39,0,15388422,15391210,15391263,15393100,15393217,15397297,chr1s+:g.15388422j15391210_15391263j15397297>15388422j15393100_15393217j15397297[splMUT],0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chr1,ENSG00000197312,+,mutex_exons_40,0,15633565,15633798,15633879,15638307,15638434,15643522,chr1s+:g.15633565j15633798_15633879j15643522>15633565j15638307_15638434j15643522[splMUT],1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,59,62,40,108,108,98,24,40,37,99,37,86,94,34,48,49,39
chr1,ENSG00000055070,+,mutex_exons_41,0,16367308,16387055,16387125,16380016,16380093,16391375,chr1s+:g.16367308j16387055_16387125j16391375>16367308j16380016_16380093j16391375[splMUT],5,0,0,3,3,1,3,4,0,0,0,0,1,4,0,4,2,0,4,2,11,8,0,1,0,0,2,0,5,2,0,0,0,2
chr1,ENSG00000055070,+,mutex_exons_42,0,16367308,16380016,16380093,16387502,16387794,16391375,chr1s+:g.16367308j16380016_16380093j16391375>16367308j16387502_16387794j16391375[splMUT],0,4,2,11,8,0,1,0,0,2,0,5,2,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
chr1,ENSG00000055070,+,mutex_exons_43,0,16367308,16390550,16390626,16380016,16380093,16391375,chr1s+:g.16367308j16390550_16390626j16391375>16367308j16380016_16380093j16391375[splMUT],0,0,0,1,0,2,2,5,0,0,0,2,1,0,0,0,0,0,4,2,11,8,0,1,0,0,2,0,5,2,0,0,0,2
chr1,ENSG00000055070,+,mutex_exons_44,0,16367308,16387055,16387125,16387502,16387794,16391375,chr1s+:g.16367308j16387055_16387125j16391375>16367308j16387502_16387794j16391375[splMUT],5,0,0,3,3,1,3,4,0,0,0,0,1,4,0,4,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
chr1,ENSG00000055070,+,mutex_exons_45,0,16367308,16387055,16387125,16390550,16390626,16391375,chr1s+:g.16367308j16387055_16387125j16391375>16367308j16390550_16390626j16391375[splMUT],5,0,0,3,3,1,3,4,0,0,0,0,1,4,0,4,2,0,0,0,1,0,2,2,5,0,0,0,2,1,0,0,0,0
chr1,ENSG00000055070,+,mutex_exons_46,0,16367308,16390550,16390626,16387502,16387794,16391375,chr1s+:g.16367308j16390550_16390626j16391375>16367308j16387502_16387794j16391375[splMUT],0,0,0,1,0,2,2,5,0,0,0,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
chr1,ENSG00000058453,+,mutex_exons_47,0,16914137,16930124,16930207,16924325,16924479,16930286,chr1s+:g.16914137j16930124_16930207j16930286>16914137j16924325_16924479j16930286[splMUT],7,1,1,13,9,2,5,4,0,0,3,0,5,5,7,3,3,0,0,0,3,3,0,0,2,0,0,0,0,0,0,0,0,0
chr1,ENSG00000040487,+,mutex_exons_48,2,19326623,19327227,19327412,19327571,19328053,19328572,chr1s+:g.19326623j19327227_19327412j19328572>19326623j19327571_19328053j19328572[splMUT],26,11,33,73,36,42,4,51,40,13,9,28,31,57,56,33,63,0,1,0,6,0,1,0,6,1,0,0,1,2,0,3,0,6
chr1,ENSG00000127472,+,mutex_exons_49,0,20059692,20066024,20066129,20063484,20063602,20068873,chr1s+:g.20059692j20066024_20066129j20068873>20059692j20063484_20063602j20068873[splMUT],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chr1,ENSG00000127472,+,mutex_exons_50,2,20070465,20076761,20076814,20070845,20070944,20084821,chr1s+:g.20070465j20076761_20076814j20084821>20070465j20070845_20070944j20084821[splMUT],6,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,3,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0
chr1,ENSG00000127472,+,mutex_exons_51,2,20070465,20070845,20070944,20076761,20076898,20084821,chr1s+:g.20070465j20070845_20070944j20084821>20070465j20076761_20076898j20084821[splMUT],1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,2,0,0,0,1,0,1,1,0,0,0,0,0,1
chr1,ENSG00000127472,+,mutex_exons_52,0,20071115,20076761,20076814,20071489,20071635,20084821,chr1s+:g.20071115j20076761_20076814j20084821>20071115j20071489_20071635j20084821[splMUT],0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,2,8,0,0,1,1,0,0,0,1,0,0,1,0,0,2,0,1
chr1,ENSG00000127472,+,mutex_exons_53,0,20071115,20076761,20076898,20071489,20071635,20084821,chr1s+:g.20071115j20076761_20076898j20084821>20071115j20071489_20071635j20084821[splMUT],6,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,1,1,0,0,0,1,0,0,1,0,0,2,0,1
chr1,ENSG00000142794,+,mutex_exons_54,1,21445219,21453373,21453430,21465716,21465817,21466087,chr1s+:g.21445219j21453373_21453430j21466087>21445219j21465716_21465817j21466087[splMUT],6,5,6,8,10,6,0,0,0,5,1,24,7,0,0,3,3,10,18,8,18,14,7,0,0,4,9,6,13,24,0,3,16,0
chr1,ENSG00000142794,+,mutex_exons_55,5,21445219,21453373,21453430,21465735,21465817,21466087,chr1s+:g.21445219j21453373_21453430j21466087>21445219j21465735_21465817j21466087[splMUT],6,5,6,8,10,6,0,0,0,5,1,24,7,0,0,3,3,17,25,9,24,19,10,0,0,5,19,19,28,37,0,7,22,3
chr1,ENSG00000142794,+,mutex_exons_56,1,21445219,21453373,21453430,21465739,21465817,21466087,chr1s+:g.21445219j21453373_21453430j21466087>21445219j21465739_21465817j21466087[splMUT],6,5,6,8,10,6,0,0,0,5,1,24,7,0,0,3,3,10,18,9,19,12,7,0,0,4,9,6,16,24,0,3,16,0
chr1,ENSG00000142676,+,mutex_exons_57,0,23693913,23695772,23695908,23694660,23694857,23696344,chr1s+:g.23693913j23695772_23695908j23696344>23693913j23694660_23694857j23696344[splMUT],4797,4788,937,4478,2344,1876,1210,1123,928,3532,3680,4446,4540,1212,1289,1263,1060,11647,10865,1950,8472,5136,3879,2003,2350,1725,8397,8706,11301,12280,2400,2526,2449,2144
chr1,ENSG00000117640,+,mutex_exons_58,11,25823128,25823238,25823323,25823346,25823439,25823644,chr1s+:g.25823128j25823238_25823323j25823644>25823128j25823346_25823439j25823644[splMUT],15,27,9,30,8,9,4,25,31,28,33,24,55,32,17,10,18,7,5,0,4,6,3,1,7,3,10,12,17,20,5,6,2,5
chr1,ENSG00000236155,+,mutex_exons_59,0,26225703,26226586,26226616,26227404,26227555,26227794,chr1s+:g.26225703j26226586_26226616j26227794>26225703j26227404_26227555j26227794[splMUT],0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,1,0,0,0,5,3,2,1,0,0,10,2,0,3
chr1,ENSG00000009780,+,mutex_exons_60,0,27727536,27727829,27727866,27730232,27730333,27732603,chr1s+:g.27727536j27727829_27727866j27732603>27727536j27730232_27730333j27732603[splMUT],0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,0,3,1,2,0,0,0
chr1,ENSG00000130775,+,mutex_exons_61,0,27872665,27876588,27876728,27882513,27883043,27885295,chr1s+:g.27872665j27876588_27876728j27885295>27872665j27882513_27883043j27885295[splMUT],26,19,16,226,105,36,17,20,11,14,12,27,24,19,41,47,15,61,47,3,108,50,24,4,7,10,42,34,54,33,14,19,25,26
chr1,ENSG00000130775,+,mutex_exons_62,0,27872665,27876588,27876733,27882513,27883043,27885295,chr1s+:g.27872665j27876588_27876733j27885295>27872665j27882513_27883043j27885295[splMUT],23,15,16,209,104,36,16,18,10,13,11,25,20,18,39,42,12,61,47,3,108,50,24,4,7,10,42,34,54,33,14,19,25,26
chr1,ENSG00000130775,+,mutex_exons_63,0,27876728,27882513,27882785,27879644,27880054,27885295,chr1s+:g.27876728j27882513_27882785j27885295>27876728j27879644_27880054j27885295[splMUT],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,50,22,7,103,48,12,8,16,17,19,18,29,32,13,25,24,18
chr1,ENSG00000130775,+,mutex_exons_64,0,27876728,27879949,27880054,27882513,27882785,27885295,chr1s+:g.27876728j27879949_27880054j27885295>27876728j27882513_27882785j27885295[splMUT],4,1,1,11,3,0,0,1,0,1,0,3,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
chr1,ENSG00000158156,+,mutex_exons_65,2,27963693,27964185,27964235,27965351,27965458,27966503,chr1s+:g.27963693j27964185_27964235j27966503>27963693j27965351_27965458j27966503[splMUT],4,3,0,7,5,4,0,0,7,0,3,0,11,3,0,0,7,2,0,3,6,7,1,0,0,2,3,2,2,0,3,1,2,0
chr1,ENSG00000204138,+,mutex_exons_66,7,28407463,28432931,28433046,28438273,28438430,28459085,chr1s+:g.28407463j28432931_28433046j28459085>28407463j28438273_28438430j28459085[splMUT],3,5,8,4,4,6,1,5,7,4,3,2,2,1,3,1,8,7,11,4,10,8,4,0,1,0,12,7,5,7,9,1,0,2
chr1,ENSG00000204138,+,mutex_exons_67,6,28407463,28457832,28457855,28432931,28433046,28459085,chr1s+:g.28407463j28457832_28457855j28459085>28407463j28432931_28433046j28459085[splMUT],32,13,10,53,24,20,1,2,0,13,12,22,19,0,1,4,7,3,5,8,4,4,6,1,5,7,4,3,2,2,1,3,1,8
chr1,ENSG00000204138,+,mutex_exons_68,11,28407463,28457832,28457855,28438273,28438430,28459085,chr1s+:g.28407463j28457832_28457855j28459085>28407463j28438273_28438430j28459085[splMUT],32,13,10,53,24,20,1,2,0,13,12,22,19,0,1,4,7,7,11,4,10,8,4,0,1,0,12,7,5,7,9,1,0,2
chr1,ENSG00000204138,+,mutex_exons_69,11,28407463,28457832,28457859,28438273,28438430,28459085,chr1s+:g.28407463j28457832_28457859j28459085>28407463j28438273_28438430j28459085[splMUT],21,17,8,34,11,12,0,2,1,9,12,16,16,1,0,4,10,7,11,4,10,8,4,0,1,0,12,7,5,7,9,1,0,2
chr1,ENSG00000159023,+,mutex_exons_70,4,29065158,29068733,29068768,29096155,29096565,29097807,chr1s+:g.29065158j29068733_29068768j29097807>29065158j29096155_29096565j29097807[splMUT],33,1,1,2,6,0,0,2,1,3,23,7,7,6,0,8,1,65,110,20,24,30,50,7,8,9,38,46,99,74,14,21,19,13
chr1,ENSG00000159023,+,mutex_exons_71,6,29065158,29068733,29068768,29096155,29096604,29097807,chr1s+:g.29065158j29068733_29068768j29097807>29065158j29096155_29096604j29097807[splMUT],33,1,1,2,6,0,0,2,1,3,23,7,7,6,0,8,1,116,191,37,48,85,91,12,23,21,70,85,198,143,21,23,22,24
chr1,ENSG00000159023,+,mutex_exons_72,7,29065158,29068733,29068783,29096155,29096565,29097807,chr1s+:g.29065158j29068733_29068783j29097807>29065158j29096155_29096565j29097807[splMUT],31,1,1,2,6,0,0,1,5,5,26,5,11,2,0,10,3,65,110,20,24,30,50,7,8,9,38,46,99,74,14,21,19,13
chr1,ENSG00000159023,+,mutex_exons_73,8,29065158,29068733,29068783,29096155,29096604,29097807,chr1s+:g.29065158j29068733_29068783j29097807>29065158j29096155_29096604j29097807[splMUT],31,1,1,2,6,0,0,1,5,5,26,5,11,2,0,10,3,116,191,37,48,85,91,12,23,21,70,85,198,143,21,23,22,24
chr1,ENSG00000159023,+,mutex_exons_74,0,29068768,29083995,29084122,29070391,29072791,29097807,chr1s+:g.29068768j29083995_29084122j29097807>29068768j29070391_29072791j29097807[splMUT],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
chr1,ENSG00000186056,+,mutex_exons_75,0,30719232,30719400,30719565,30720977,30721174,30721288,chr1s+:g.30719232j30719400_30719565j30721288>30719232j30720977_30721174j30721288[splMUT],0,2,0,3,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
chr1,ENSG00000084623,+,mutex_exons_76,9,32224475,32226171,32226283,32226403,32226530,32228499,chr1s+:g.32224475j32226171_32226283j32228499>32224475j32226403_32226530j32228499[splMUT],1491,1305,173,1026,526,447,167,263,169,1111,814,1344,1135,222,243,296,271,1387,1385,205,1146,559,495,173,279,155,959,830,1182,939,230,247,266,247
