,confirmed,contig,event_id,event_jid,gene,strand,brain_3b_TSMRU_V102.star,brain_3c_TSMRU_V103.star,brain_a_TSMRU_V29.star,ovary_6a_TSMRU_V233.star,ovary_6b_TSMRU_V234.star,ovary_8a_TSMRU_ovary_8a.star,smallintestine_4a_TSMRU_V151.star,smallintestine_4b_TSMRU_V152.star,smallintestine_4c_TSMRU_V153.star,smallintestine_4d_TSMRU_V156.star,tonsil_8a1_TSMRU_tonsil_8a1.star,tonsil_8b1_TSMRU_tonsil_8b1.star,tonsil_8e1_TSMRU_tonsil_8e1.star
70,6,chr1,mutex_exons_71,chr1s+:g.29065158j29068733_29068768j29097807>29065158j29096155_29096604j29097807[splMUT],ENSG00000159023,+,4.37711164765297,2.52255043126974,2.52255043126974,2.25946791151194,0.0,2.7995007250152497,0.4024980301520229,11.7987910800791,10.743183132532199,9.300501591045789,1.08311927579231,1.991820365285,1.07038783993807
71,7,chr1,mutex_exons_72,chr1s+:g.29065158j29068733_29068783j29097807>29065158j29096155_29096565j29097807[splMUT],ENSG00000159023,+,3.3425034978989796,1.95293315350738,1.95293315350738,0.660955097994506,0.0,2.22753340970739,1.01939297825865,10.2280153434344,9.29373715967321,9.00654388130589,1.48998405770495,1.7002646539733701,0.624081854435126
72,8,chr1,mutex_exons_73,chr1s+:g.29065158j29068733_29068783j29097807>29065158j29096155_29096604j29097807[splMUT],ENSG00000159023,+,4.20321160768702,2.4290752488775897,2.4290752488775897,0.7778033841134009,0.0,3.1114230579366295,1.02026641391823,13.6115195073688,12.7312577725366,11.8755055958378,1.9003121231685,1.84327242489334,0.5204045911989079
155,10,chr1,mutex_exons_156,chr1s+:g.81985355j81987260_81987341j81990391>81985355j81986901_81987029j81990391[splMUT],ENSG00000117114,+,-7.753444771856509,-10.3721812560785,-10.6732444200458,-2.35435061539026,-0.405528090415055,-0.583299245633548,-0.3252013037784339,-0.30530417532640003,-0.308293261497778,-0.10362656830548199,-1.12014973940363,-0.447514405242915,-0.431944555650876
156,0,chr1,mutex_exons_157,chr1s+:g.81987029j81987869_81987886j81990391>81987029j81987289_81987341j81990391[splMUT],ENSG00000117114,+,10.3685699148786,14.2063710590195,20.6167194126215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,0,chr1,mutex_exons_158,chr1s+:g.81987029j81987869_81987920j81990391>81987029j81987289_81987341j81990391[splMUT],ENSG00000117114,+,7.453252709075849,16.4335340527757,26.3526052151292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,0,chr1,mutex_exons_173,chr1s+:g.99916731j99920425_99920507j99921534>99916731j99919078_99919222j99921534[splMUT],ENSG00000162688,+,-2.83321334405622,-5.65248918026865,-11.220070033744399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,0,chr1,mutex_exons_189,chr1s+:g.108696351j108697810_108697859j108698604>108696351j108696740_108696852j108698604[splMUT],ENSG00000134186,+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.2988655323891,0.0,0.0
189,0,chr1,mutex_exons_190,chr1s+:g.108696351j108697810_108697861j108698604>108696351j108696740_108696852j108698604[splMUT],ENSG00000134186,+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.2988655323891,0.0,0.0
190,0,chr1,mutex_exons_191,chr1s+:g.108696351j108697810_108697863j108698604>108696351j108696740_108696852j108698604[splMUT],ENSG00000134186,+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.524915441070302,0.0,0.0
237,0,chr1,mutex_exons_238,chr1s+:g.120827226j120829764_120829815j120833683>120827226j120831298_120831349j120833683[splMUT],ENSG00000273136,+,0.0,0.0,0.0,0.0,0.0,-2.87875840083861,0.0,0.0,0.0,0.0,-11.996498875851,0.0,0.0
547,2,chr1,mutex_exons_548,chr1s-:g.3739407j3739836_3739871j3740160>3739407j3739624_3739799j3740160[splMUT],ENSG00000227372,-,0.0,0.0,0.0,-2.141624110991,0.0,0.0,0.0,0.0,-14.0760807974913,-1.6177722330052,-3.96737857071692,0.0,-2.55135414990599
548,3,chr1,mutex_exons_549,chr1s-:g.3739407j3739836_3739907j3740160>3739407j3739624_3739799j3740160[splMUT],ENSG00000227372,-,0.0,0.0,0.0,-2.2676657922964303,0.0,0.0,0.0,0.0,-10.705882059186699,-1.74585872089793,-1.68520702170897,0.0,-2.25341645767386
549,1,chr1,mutex_exons_550,chr1s-:g.3739407j3739624_3739799j3740160>3739407j3739836_3740015j3740160[splMUT],ENSG00000227372,-,0.0,0.0,0.0,2.02082607777956,0.0,0.0,0.0,0.0,17.0127116761389,1.3910637146142801,2.02082607777956,0.0,2.59125129762754
550,2,chr1,mutex_exons_551,chr1s-:g.3739407j3739624_3739799j3740160>3739407j3739836_3740087j3740160[splMUT],ENSG00000227372,-,0.0,0.0,0.0,2.03220970235613,0.0,0.0,0.0,0.0,10.7884808875504,1.58412852188988,3.7588967880301802,0.0,2.0039078498017098
609,0,chr1,mutex_exons_610,chr1s-:g.3739587j3739624_3739634j3739908>3739587j3739836_3739871j3739908[splMUT],ENSG00000227372,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1368523068911
615,0,chr1,mutex_exons_616,chr1s-:g.3739659j3739696_3739731j3740184>3739659j3739739_3740111j3740184[splMUT],ENSG00000227372,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.321528753766009,0.0,-2.6233350363729397,-14.8975648303264
622,0,chr1,mutex_exons_623,chr1s-:g.3739659j3739696_3739731j3740184>3739659j3739883_3740111j3740184[splMUT],ENSG00000227372,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.321528753766009,0.0,-2.6233350363729397,-14.8975648303264
651,1,chr1,mutex_exons_652,chr1s-:g.20981227j20982388_20982408j21002713>20981227j21001199_21001304j21002713[splMUT],ENSG00000075151,-,8.20749235822845,21.1300762994217,14.681273509331401,0.0,0.0,0.0,1.37301375127996,0.35138384823855295,0.967149958714567,0.5534809823043211,1.19085486700299,0.297681509140912,0.24739778921401798
652,1,chr1,mutex_exons_653,chr1s-:g.20981227j20982388_20982408j21002713>20981227j21001199_21001307j21002713[splMUT],ENSG00000075151,-,8.00631633213839,18.794221193328102,12.5565269701486,0.0,0.0,0.0,1.3512923902737,0.30586708269205204,0.944966272914823,0.539519334009536,1.1602772344212,0.29024477810298305,0.24107063327853895
