,confirmed,contig,event_id,event_jid,gene,test_total_out,PSI_higher,PSI_lower,strand,test_high_counts,test_low_counts,test_median_score,test_mean_score,test_abs_max_score,event_type
3988,0,chr17,mutex_exons_3989,chr17s-:g.76089320j76091143_76091272j76094414>76089320j76090329_76090459j76094414[splMUT],ENSG00000182473,5.0,test,Ref,-,5,0,2.8370572884141,10.648040139605246,32.688269855281895,mutex_exons
6515,5,chr4,mutex_exons_6516,chr4s+:g.173295843j173297821_173297977j173302047>173295843j173298115_173298297j173302047[splMUT],ENSG00000109586,4.0,test,Ref,+,4,0,3.6237738637313197,6.766610070398564,16.0286798119967,mutex_exons
1898,2,chr12,mutex_exons_1899,chr12s+:g.2493386j2504436_2504539j2512812>2493386j2504842_2504945j2512812[splMUT],ENSG00000151067,3.0,test,Ref,+,3,0,0.0,9.408692080069875,71.26550422569221,mutex_exons
2894,0,chr14,mutex_exons_2895,chr14s+:g.100831534j100835736_100835879j100836167>100831534j100834632_100835549j100836167[splMUT],ENSG00000214548,3.0,Ref,test,+,0,3,0.0,-9.717713612145293,57.5201193573134,mutex_exons
7292,3,chr6,mutex_exons_7293,chr6s-:g.130870381j130876674_130876775j130878104>130870381j130872371_130872538j130878104[splMUT],ENSG00000079819,3.0,Ref,test,-,0,3,-0.908870499923268,-12.585865194183343,55.776119264256295,mutex_exons
2001,1,chr12,mutex_exons_2002,chr12s+:g.51774362j51780202_51780271j51786542>51774362j51780649_51780771j51786542[splMUT],ENSG00000196876,3.0,Ref,test,+,0,3,0.0,-9.95916301807797,53.043038399066106,mutex_exons
7293,0,chr6,mutex_exons_7294,chr6s-:g.130870381j130876674_130876775j130885096>130870381j130872371_130872538j130885096[splMUT],ENSG00000079819,3.0,Ref,test,-,0,3,-0.899120692308538,-9.264842143212267,45.826528701438704,mutex_exons
6945,11,chr5,mutex_exons_6946,chr5s-:g.180242755j180247439_180247510j180248973>180242755j180247855_180247926j180248973[splMUT],ENSG00000050748,3.0,Ref,test,-,0,3,-0.9672564585643199,-9.150677679777152,44.537469979904394,mutex_exons
1049,2,chr10,mutex_exons_1050,chr10s+:g.78037304j78037439_78037441j78040204>78037304j78037965_78037993j78040204[splMUT],ENSG00000138326,3.0,Ref,test,+,0,3,-1.09710286360474,-8.876995649751873,40.059316451029794,mutex_exons
1403,2,chr11,mutex_exons_1404,chr11s+:g.59793514j59795602_59795712j59800855>59793514j59797283_59797396j59800855[splMUT],ENSG00000166900,3.0,test,Ref,+,3,0,0.0,5.27722772955504,34.954895309273,mutex_exons
1029,19,chr10,mutex_exons_1030,chr10s+:g.48420320j48424088_48424159j48425888>48420320j48424514_48424585j48425888[splMUT],ENSG00000107643,3.0,test,Ref,+,3,0,1.03969695987924,6.602178844277254,33.465502587431395,mutex_exons
2887,0,chr14,mutex_exons_2888,chr14s+:g.100831094j100835739_100835879j100836167>100831094j100831421_100834751j100836167[splMUT],ENSG00000214548,3.0,Ref,test,+,0,3,-0.32265677650706603,-4.980179455231428,32.7033981610535,mutex_exons
4745,4,chr2,mutex_exons_4746,chr2s+:g.112089718j112091712_112091783j112097044>112089718j112095228_112095299j112097044[splMUT],ENSG00000153214,3.0,Ref,test,+,0,3,-0.730361191719196,-5.274751111829762,24.517391064685,mutex_exons
156,0,chr1,mutex_exons_157,chr1s+:g.81987029j81987869_81987886j81990391>81987029j81987289_81987341j81990391[splMUT],ENSG00000117114,3.0,test,Ref,+,3,0,0.0,3.4762815681938153,20.6167194126215,mutex_exons
5761,5,chr22,mutex_exons_5762,chr22s-:g.17823060j17826454_17826516j17831854>17823060j17827644_17827781j17831854[splMUT],ENSG00000243156,3.0,Ref,test,-,0,3,-0.482307715417872,-4.2003769892473795,20.2516955226027,mutex_exons
4164,4,chr19,mutex_exons_4165,chr19s+:g.10795439j10796061_10796199j10798486>10795439j10797380_10797955j10798486[splMUT],ENSG00000079805,3.0,Ref,test,+,0,3,-2.5372133962134997,-5.215459449243652,18.382289758163303,mutex_exons
6982,2,chr6,mutex_exons_6983,chr6s+:g.25610181j25612377_25612401j25619447>25610181j25612740_25612886j25619447[splMUT],ENSG00000079691,3.0,test,Ref,+,3,0,0.0,3.425874040905569,18.308395355016,mutex_exons
6514,23,chr4,mutex_exons_6515,chr4s+:g.173295843j173297795_173297977j173302047>173295843j173298115_173298297j173302047[splMUT],ENSG00000109586,3.0,test,Ref,+,3,0,2.4356224188127102,6.033607392241931,17.1167268625472,mutex_exons
6513,2,chr4,mutex_exons_6514,chr4s+:g.173295526j173297795_173297977j173302047>173295526j173298115_173298297j173302047[splMUT],ENSG00000109586,3.0,test,Ref,+,3,0,3.2037909212628,6.032367380063591,16.033038911691403,mutex_exons
1137,2,chr10,mutex_exons_1138,chr10s-:g.26751783j26763880_26763960j26765218>26751783j26759086_26759235j26765218[splMUT],ENSG00000136754,3.0,test,Ref,-,3,0,0.0,3.8791081955362916,15.7148327675575,mutex_exons
