"contig","gene","strand","event_id","confirmed","exon_pre_end","exon1_start","exon1_end","exon2_start","exon2_end","exon_aft_start","event_jid","ll_ratio","psi_Brain_brain_3b_TSMRU_V102.star","psi_Brain_brain_3c_TSMRU_V103.star","psi_Brain_brain_a_TSMRU_V29.star","psi_SI_smallintestine_4a_TSMRU_V151.star","psi_SI_smallintestine_4b_TSMRU_V152.star","psi_SI_smallintestine_4c_TSMRU_V153.star","psi_SI_smallintestine_4d_TSMRU_V156.star","depth_Brain_brain_3b_TSMRU_V102.star","depth_Brain_brain_3c_TSMRU_V103.star","depth_Brain_brain_a_TSMRU_V29.star","depth_SI_smallintestine_4a_TSMRU_V151.star","depth_SI_smallintestine_4b_TSMRU_V152.star","depth_SI_smallintestine_4c_TSMRU_V153.star","depth_SI_smallintestine_4d_TSMRU_V156.star","fitPSI_Brain","fitPSI_SI","fitPSI_all","fitW_2group","fitW_all"
"chr1","ENSG00000187634","+","mutex_exons_1",0,939460,941144,941230,942136,942251,942410,"chr1:g.939460j941144_941230j942410>939460j942136_942251j942410[splMUT]",0.889644136836466,1,NA,0.666666666666667,0.666666666666667,0.5,NA,NA,5,0,3,3,4,0,0,0.874031745616168,0.571309642836665,0.732322513950413,200.020443681309,173.035838447182
"chr1","ENSG00000197530","+","mutex_exons_2",0,1625653,1625909,1625971,1626367,1626754,1626837,"chr1:g.1625653j1625909_1625971j1626837>1625653j1626367_1626754j1626837[splMUT]",0.117094461579043,0,0.210526315789474,0,0,0,0.0454545454545455,0,17,19,34,15,73,66,13,0.0494926743719003,0.0251317195604206,0.03514980479054,6.34743139920829,5.61018917711561
"chr1","ENSG00000157916","+","mutex_exons_3",0,2391958,2393232,2393355,2392563,2393231,2395784,"chr1:g.2391958j2393232_2393355j2395784>2391958j2392563_2393231j2395784[splMUT]",1.61003550518762,1,1,0.888888888888889,0.852941176470588,0.818181818181818,0.854166666666667,0.933333333333333,15,9,9,34,22,48,45,0.968914007249136,0.870672512197469,0.890654575354194,201.586392560803,201.516089221941
"chr1","ENSG00000157916","+","mutex_exons_4",4,2391958,2393270,2393355,2392563,2393231,2395784,"chr1:g.2391958j2393270_2393355j2395784>2391958j2392563_2393231j2395784[splMUT]",2.00341181838452,1,1,0.9375,0.878048780487805,0.833333333333333,0.86,0.933333333333333,15,10,16,41,24,50,45,0.974850038672971,0.879601296872421,0.90143338297411,201.816044667797,201.509862023708
"chr1","ENSG00000157916","+","mutex_exons_5",4,2391958,2394647,2394728,2392563,2393231,2395784,"chr1:g.2391958j2394647_2394728j2395784>2391958j2392563_2393231j2395784[splMUT]",0.932905292648604,1,1,0.666666666666667,0.6875,0.714285714285714,0.774193548387097,0.9375,5,10,3,16,14,31,48,0.936430628685921,0.798922548322798,0.83046426591211,20.598187364551,17.5287439466335
"chr1","ENSG00000157916","+","mutex_exons_6",1,2391958,2395608,2395648,2392563,2393231,2395784,"chr1:g.2391958j2395608_2395648j2395784>2391958j2392563_2393231j2395784[splMUT]",0.363664364604674,1,NA,0.5,0.285714285714286,0.636363636363636,0,0.666666666666667,1,0,2,7,11,7,9,0.666680299076583,0.396814366199921,0.445001359853498,4.37334843893054,4.47030068374387
"chr1","ENSG00000157916","+","mutex_exons_7",2,2391958,2393208,2393231,2393232,2393355,2395784,"chr1:g.2391958j2393208_2393231j2395784>2391958j2393232_2393355j2395784[splMUT]",0.020631945965377,0.117647058823529,0.25,0.272727272727273,0.147058823529412,0.333333333333333,0.293103448275862,0.0454545454545455,17,12,11,34,27,58,44,0.215633772206819,0.196477595986891,0.202526468172461,20.3507529936425,20.4747895406697
"chr1","ENSG00000157916","+","mutex_exons_8",16,2391958,2393208,2393231,2393270,2393355,2395784,"chr1:g.2391958j2393208_2393231j2395784>2391958j2393270_2393355j2395784[splMUT]",0.0005669632069214,0.117647058823529,0.230769230769231,0.166666666666667,0.121951219512195,0.310344827586207,0.283333333333333,0.0454545454545455,17,13,18,41,29,60,44,0.179778891325,0.182576609479126,0.181664042950504,24.394196327187,24.3259507487278
"chr1","ENSG00000157916","+","mutex_exons_9",0,2391958,2393208,2393231,2393270,2393355,2395790,"chr1:g.2391958j2393208_2393231j2395790>2391958j2393270_2393355j2395790[splMUT]",0.00283799156831854,1,0.75,0.222222222222222,0.222222222222222,0.714285714285714,0.833333333333333,NA,2,4,9,9,7,12,0,0.567709323687314,0.585938369367187,0.578666181820864,4.19697996348604,4.11675939570075
"chr1","ENSG00000157916","+","mutex_exons_10",16,2391958,2393208,2393231,2394647,2394728,2395784,"chr1:g.2391958j2393208_2393231j2395784>2391958j2394647_2394728j2395784[splMUT]",0.113968675151568,0.285714285714286,0.230769230769231,0.6,0.3125,0.473684210526316,0.414634146341463,0.0425531914893617,7,13,5,16,19,41,47,0.357950078845111,0.286092339748346,0.310253666813765,7.970262001615,7.81532629136801
"chr1","ENSG00000157916","+","mutex_exons_11",4,2391958,2393208,2393231,2395608,2395648,2395784,"chr1:g.2391958j2393208_2393231j2395784>2391958j2395608_2395648j2395784[splMUT]",-0.123670036816723,0.666666666666667,1,0.75,0.714285714285714,0.5625,1,0.25,3,3,4,7,16,17,8,0.738181577958761,0.665767725983709,0.706726667873248,2.00000111504706,3.20875401813363
"chr1","ENSG00000157916","+","mutex_exons_12",0,2391958,2393208,2393231,2395608,2395648,2395790,"chr1:g.2391958j2393208_2393231j2395790>2391958j2395608_2395648j2395790[splMUT]",1.19356664042756,1,1,1,1,0.714285714285714,1,0,2,3,2,2,7,10,2,0.99999179126145,0.743200449613401,0.844715918047319,2.00044895767039,2.00098854507636
"chr1","ENSG00000157916","+","mutex_exons_13",4,2391958,2395608,2395648,2393208,2393355,2395784,"chr1:g.2391958j2395608_2395648j2395784>2391958j2393208_2393355j2395784[splMUT]",0.0939732329737311,0.0555555555555556,0,0.0909090909090909,0.0606060606060606,0.233333333333333,0,0.125,18,12,11,33,30,51,48,0.0652648693277869,0.0925538731985213,0.0833758725393227,16.2855547068487,15.099631341292
